rate_id: 5, rate_date: 2025-02-11, updated_rates: {'RUR': 1.0, 'AUD': 60.7017, 'AZN': 56.9306, 'GBP': 120.2421, 'AMD': 0.244146, 'BYN': 28.6227, 'BGN': 51.3496, 'BRL': 16.8159, 'HUF': 0.24666, 'VND': 0.00395239, 'HKD': 12.4463, 'GEL': 34.6393, 'DKK': 13.4625, 'AED': 26.3532, 'USD': 96.7821, 'EUR': 100.4991, 'EGP': 1.9244299999999999, 'INR': 1.105, 'IDR': 0.00592846, 'KZT': 0.189331, 'CAD': 67.6893, 'QAR': 26.5885, 'KGS': 1.10671, 'CNY': 13.2421, 'MDL': 5.17128, 'NZD': 54.6819, 'NOK': 8.63918, 'PLN': 23.8685, 'RON': 20.0905, 'XDR': 126.4013, 'SGD': 71.4154, 'TJS': 8.84598, 'THB': 2.8569500000000003, 'TRY': 2.69304, 'TMT': 27.652, 'UZS': 0.00746948, 'UAH': 2.3335999999999997, 'CZK': 4.00042, 'SEK': 8.898309999999999, 'CHF': 106.3189, 'RSD': 0.8531529999999999, 'ZAR': 5.22788, 'KRW': 0.0668662, 'JPY': 0.6371439999999999}
rate_id: 6, rate_date: 2025-02-12, updated_rates: {'RUR': 1.0, 'AUD': 60.116, 'AZN': 56.3544, 'GBP': 118.6992, 'AMD': 0.241596, 'BYN': 28.516, 'BGN': 50.5506, 'BRL': 16.5734, 'HUF': 0.244956, 'VND': 0.00390679, 'HKD': 12.3155, 'GEL': 34.4452, 'DKK': 13.256, 'AED': 26.0864, 'USD': 95.8024, 'EUR': 99.1953, 'EGP': 1.90495, 'INR': 1.10262, 'IDR': 0.00585947, 'KZT': 0.187668, 'CAD': 66.8871, 'QAR': 26.3193, 'KGS': 1.09551, 'CNY': 13.0258, 'MDL': 5.09002, 'NZD': 53.9942, 'NOK': 8.541889999999999, 'PLN': 23.6567, 'RON': 19.8579, 'XDR': 124.8305, 'SGD': 70.6195, 'TJS': 8.75315, 'THB': 2.81094, 'TRY': 2.66284, 'TMT': 27.3721, 'UZS': 0.00738536, 'UAH': 2.3033, 'CZK': 3.94541, 'SEK': 8.767619999999999, 'CHF': 105.058, 'RSD': 0.843306, 'ZAR': 5.18557, 'KRW': 0.0659161, 'JPY': 0.630694}
rate_id: 7, rate_date: 2025-02-13, updated_rates: {'RUR': 1.0, 'AUD': 59.1565, 'AZN': 55.3226, 'GBP': 116.6766, 'AMD': 0.237161, 'BYN': 28.2462, 'BGN': 49.6442, 'BRL': 16.2756, 'HUF': 0.242574, 'VND': 0.0038309, 'HKD': 12.0963, 'GEL': 33.584, 'DKK': 13.0187, 'AED': 25.6088, 'USD': 94.0485, 'EUR': 98.0119, 'EGP': 1.85764, 'INR': 1.08293, 'IDR': 0.00574167, 'KZT': 0.185709, 'CAD': 65.736, 'QAR': 25.8375, 'KGS': 1.07545, 'CNY': 12.7702, 'MDL': 4.99618, 'NZD': 53.2173, 'NOK': 8.38805, 'PLN': 23.3864, 'RON': 19.6016, 'XDR': 122.5113, 'SGD': 69.4751, 'TJS': 8.59196, 'THB': 2.75948, 'TRY': 2.61306, 'TMT': 26.871, 'UZS': 0.00724565, 'UAH': 2.25701, 'CZK': 3.86665, 'SEK': 8.62881, 'CHF': 103.3046, 'RSD': 0.832138, 'ZAR': 5.09309, 'KRW': 0.0647049, 'JPY': 0.613894}
rate_id: 8, rate_date: 2025-02-18, updated_rates: {'RUR': 1.0, 'AUD': 58.2348, 'AZN': 53.7851, 'GBP': 115.3723, 'AMD': 0.230669, 'BYN': 28.0088, 'BGN': 48.9844, 'BRL': 15.9628, 'HUF': 0.23793199999999998, 'VND': 0.0037203400000000004, 'HKD': 11.7737, 'GEL': 32.2385, 'DKK': 12.8443, 'AED': 24.8971, 'USD': 91.4347, 'EUR': 95.8048, 'EGP': 1.80599, 'INR': 1.05373, 'IDR': 0.00561466, 'KZT': 0.18461200000000003, 'CAD': 64.5452, 'QAR': 25.1194, 'KGS': 1.04557, 'CNY': 12.4935, 'MDL': 4.91505, 'NZD': 52.4378, 'NOK': 8.222539999999999, 'PLN': 23.003, 'RON': 19.2689, 'XDR': 119.8206, 'SGD': 68.296, 'TJS': 8.35615, 'THB': 2.7128699999999997, 'TRY': 2.53012, 'TMT': 26.1242, 'UZS': 0.00703715, 'UAH': 2.19637, 'CZK': 3.82476, 'SEK': 8.52019, 'CHF': 101.5377, 'RSD': 0.816109, 'ZAR': 4.95603, 'KRW': 0.06335110000000001, 'JPY': 0.602019}
rate_id: 9, rate_date: 2025-02-19, updated_rates: {'RUR': 1.0, 'AUD': 58.0282, 'AZN': 53.7293, 'GBP': 115.1521, 'AMD': 0.230522, 'BYN': 28.0158, 'BGN': 48.9102, 'BRL': 15.9959, 'HUF': 0.237926, 'VND': 0.0037127, 'HKD': 11.7676, 'GEL': 32.4245, 'DKK': 12.8236, 'AED': 24.8713, 'USD': 91.3398, 'EUR': 95.6693, 'EGP': 1.80302, 'INR': 1.05019, 'IDR': 0.00563548, 'KZT': 0.183137, 'CAD': 64.4782, 'QAR': 25.0934, 'KGS': 1.04448, 'CNY': 12.4167, 'MDL': 4.91389, 'NZD': 52.2783, 'NOK': 8.217189999999999, 'PLN': 22.9907, 'RON': 19.1999, 'XDR': 119.6962, 'SGD': 67.9966, 'TJS': 8.345189999999999, 'THB': 2.7065200000000003, 'TRY': 2.52426, 'TMT': 26.0971, 'UZS': 0.00703629, 'UAH': 2.19802, 'CZK': 3.8169600000000004, 'SEK': 8.52891, 'CHF': 101.4548, 'RSD': 0.815569, 'ZAR': 4.95913, 'KRW': 0.063382, 'JPY': 0.602386}
rate_id: 12, rate_date: 2025-02-20, updated_rates: {'RUR': 1.0, 'AUD': 57.5476, 'AZN': 53.1922, 'GBP': 114.0734, 'AMD': 0.228512, 'BYN': 27.7306, 'BGN': 48.301, 'BRL': 15.871, 'HUF': 0.234899, 'VND': 0.00367096, 'HKD': 11.6484, 'GEL': 32.0822, 'DKK': 12.6664, 'AED': 24.6227, 'USD': 90.4268, 'EUR': 94.0834, 'EGP': 1.7850000000000001, 'INR': 1.0397, 'IDR': 0.00555618, 'KZT': 0.18162, 'CAD': 63.7123, 'QAR': 24.8425, 'KGS': 1.03404, 'CNY': 12.3608, 'MDL': 4.85297, 'NZD': 51.5478, 'NOK': 8.102689999999999, 'PLN': 22.6776, 'RON': 18.932, 'XDR': 118.5233, 'SGD': 67.3821, 'TJS': 8.25717, 'THB': 2.68385, 'TRY': 2.4959800000000003, 'TMT': 25.8362, 'UZS': 0.0069718900000000006, 'UAH': 2.17526, 'CZK': 3.76527, 'SEK': 8.42607, 'CHF': 99.9744, 'RSD': 0.807136, 'ZAR': 4.92837, 'KRW': 0.0626268, 'JPY': 0.5946779999999999}
rate_id: 16, rate_date: 2025-02-21, updated_rates: {'RUR': 1.0, 'AUD': 56.3191, 'AZN': 52.0649, 'GBP': 111.4345, 'AMD': 0.22390100000000002, 'BYN': 27.4544, 'BGN': 47.2186, 'BRL': 15.5053, 'HUF': 0.229563, 'VND': 0.0035917, 'HKD': 11.4001, 'GEL': 31.4569, 'DKK': 12.3815, 'AED': 24.1008, 'USD': 88.5103, 'EUR': 92.4831, 'EGP': 1.74897, 'INR': 1.02089, 'IDR': 0.00541116, 'KZT': 0.175752, 'CAD': 62.2304, 'QAR': 24.316, 'KGS': 1.01212, 'CNY': 12.1252, 'MDL': 4.73459, 'NZD': 50.5261, 'NOK': 7.94149, 'PLN': 22.142, 'RON': 18.5669, 'XDR': 115.8467, 'SGD': 66.0574, 'TJS': 8.082170000000001, 'THB': 2.63048, 'TRY': 2.44103, 'TMT': 25.2887, 'UZS': 0.00683476, 'UAH': 2.1235, 'CZK': 3.6779699999999997, 'SEK': 8.235389999999999, 'CHF': 98.105, 'RSD': 0.787899, 'ZAR': 4.786, 'KRW': 0.0614399, 'JPY': 0.586006}
rate_id: 18, rate_date: 2025-02-24, updated_rates: {'RUR': 1.0, 'AUD': 56.4008, 'AZN': 51.8633, 'GBP': 111.4527, 'AMD': 0.223543, 'BYN': 27.4914, 'BGN': 47.0764, 'BRL': 15.4637, 'HUF': 0.228147, 'VND': 0.0035785200000000004, 'HKD': 11.3647, 'GEL': 31.3362, 'DKK': 12.3439, 'AED': 24.0075, 'USD': 88.1676, 'EUR': 92.0152, 'EGP': 1.7435800000000001, 'INR': 1.01755, 'IDR': 0.00539449, 'KZT': 0.17642, 'CAD': 62.1424, 'QAR': 24.2219, 'KGS': 1.00821, 'CNY': 12.043, 'MDL': 4.71997, 'NZD': 50.8066, 'NOK': 7.93124, 'PLN': 22.1332, 'RON': 18.5448, 'XDR': 115.6027, 'SGD': 66.0827, 'TJS': 8.04992, 'THB': 2.6234100000000002, 'TRY': 2.4302099999999998, 'TMT': 25.1907, 'UZS': 0.00681888, 'UAH': 2.11273, 'CZK': 3.67243, 'SEK': 8.24587, 'CHF': 98.073, 'RSD': 0.789412, 'ZAR': 4.80944, 'KRW': 0.061253, 'JPY': 0.58849}
rate_id: 49, rate_date: 2025-02-25, updated_rates: {'RUR': 1.0, 'AUD': 56.2846, 'AZN': 51.8862, 'GBP': 111.4754, 'AMD': 0.223931, 'BYN': 27.4975, 'BGN': 47.1965, 'BRL': 15.4683, 'HUF': 0.22938199999999997, 'VND': 0.00357894, 'HKD': 11.3668, 'GEL': 31.4473, 'DKK': 12.3757, 'AED': 24.0181, 'USD': 88.2065, 'EUR': 92.5162, 'EGP': 1.7441, 'INR': 1.0174699999999999, 'IDR': 0.00541144, 'KZT': 0.175546, 'CAD': 62.0866, 'QAR': 24.2326, 'KGS': 1.0086499999999998, 'CNY': 12.0634, 'MDL': 4.7345, 'NZD': 50.7452, 'NOK': 7.93774, 'PLN': 22.1993, 'RON': 18.5655, 'XDR': 115.7984, 'SGD': 66.231, 'TJS': 8.06349, 'THB': 2.63578, 'TRY': 2.42734, 'TMT': 25.2019, 'UZS': 0.00682915, 'UAH': 2.1207599999999998, 'CZK': 3.67956, 'SEK': 8.28432, 'CHF': 98.0944, 'RSD': 0.7913979999999999, 'ZAR': 4.7905500000000005, 'KRW': 0.061506500000000006, 'JPY': 0.58875}
rate_id: 53, rate_date: 2025-02-26, updated_rates: {'RUR': 1.0, 'AUD': 55.0199, 'AZN': 50.9599, 'GBP': 109.338, 'AMD': 0.220129, 'BYN': 27.3028, 'BGN': 46.3582, 'BRL': 15.1309, 'HUF': 0.226477, 'VND': 0.00351505, 'HKD': 11.1625, 'GEL': 30.7718, 'DKK': 12.1536, 'AED': 23.5893, 'USD': 86.6318, 'EUR': 90.9403, 'EGP': 1.71221, 'INR': 0.99574, 'IDR': 0.005313859999999999, 'KZT': 0.172268, 'CAD': 60.9011, 'QAR': 23.7999, 'KGS': 0.9906499999999999, 'CNY': 11.8002, 'MDL': 4.64464, 'NZD': 49.601, 'NOK': 7.79245, 'PLN': 21.9488, 'RON': 18.2245, 'XDR': 113.7571, 'SGD': 64.723, 'TJS': 7.9195400000000005, 'THB': 2.57733, 'TRY': 2.3807099999999997, 'TMT': 24.7519, 'UZS': 0.006715689999999999, 'UAH': 2.07743, 'CZK': 3.61961, 'SEK': 8.12955, 'CHF': 96.6441, 'RSD': 0.774449, 'ZAR': 4.70631, 'KRW': 0.0606156, 'JPY': 0.576815}
rate_id: 54, rate_date: 2025-02-27, updated_rates: {'RUR': 1.0, 'AUD': 54.3752, 'AZN': 50.5458, 'GBP': 108.7418, 'AMD': 0.218363, 'BYN': 27.3395, 'BGN': 46.1177, 'BRL': 14.8726, 'HUF': 0.22561499999999998, 'VND': 0.0034833799999999995, 'HKD': 11.0732, 'GEL': 30.5055, 'DKK': 12.0918, 'AED': 23.3977, 'USD': 85.9279, 'EUR': 90.1826, 'EGP': 1.6983000000000001, 'INR': 0.98765, 'IDR': 0.00526648, 'KZT': 0.172307, 'CAD': 60.1441, 'QAR': 23.6066, 'KGS': 0.9825900000000001, 'CNY': 11.737, 'MDL': 4.6127400000000005, 'NZD': 49.198, 'NOK': 7.733169999999999, 'PLN': 21.7903, 'RON': 18.1217, 'XDR': 112.8835, 'SGD': 64.2308, 'TJS': 7.851380000000001, 'THB': 2.5417899999999998, 'TRY': 2.35934, 'TMT': 24.5508, 'UZS': 0.006669029999999999, 'UAH': 2.05885, 'CZK': 3.6168, 'SEK': 8.09282, 'CHF': 96.0303, 'RSD': 0.769333, 'ZAR': 4.67172, 'KRW': 0.06006, 'JPY': 0.577162}
